time,vx,vy,yaw,duty
8.684068679809570312e+00,3.345730440701438660e-04,8.401674221116777050e-04,2.199128709425790182e-02,2.037853309481216582e-02
8.692452907562255859e+00,-2.273653554781948003e-06,5.361640256665372532e-04,2.180311267982176435e-02,5.500000000000000028e-02
8.700521469116210938e+00,-8.595399189079405006e-05,1.724372249491557679e-04,2.214249388488603171e-02,5.500000000000000028e-02
8.708345413208007812e+00,-1.411010750295412311e-04,1.669125510961213372e-04,2.220891443413966146e-02,5.500000000000000028e-02
8.716951608657836914e+00,-8.277869887056204731e-05,5.583058051804739869e-04,2.223942751911001450e-02,5.500000000000000028e-02
8.725499629974365234e+00,-2.497837834835179758e-04,8.102940227836475046e-04,2.177333501090584003e-02,5.500000000000000028e-02
8.733628511428833008e+00,1.253528580541427928e-03,1.356663780339481973e-03,2.128294036919617382e-02,5.500000000000000028e-02
8.742037057876586914e+00,4.156433070031150326e-03,4.186419801609093374e-04,2.115144142388074647e-02,5.500000000000000028e-02
8.750057220458984375e+00,8.578662939618550420e-03,-2.866335632340509293e-04,2.103315641679662923e-02,5.500000000000000028e-02
8.758800506591796875e+00,1.760312829381662295e-02,4.154172647711453403e-04,2.261422139561234182e-02,5.500000000000000028e-02
8.766989469528198242e+00,2.851223560476075572e-02,-3.503806963779649663e-04,2.250071325614377143e-02,5.500000000000000028e-02
8.775660753250122070e+00,4.208033529840222997e-02,-1.001579418791327626e-03,2.234142808133925476e-02,5.500000000000000028e-02
8.783348083496093750e+00,5.976436020751372397e-02,-1.594984809769121577e-03,2.175029343431835599e-02,5.500000000000000028e-02
8.791364669799804688e+00,7.955043634675920683e-02,-3.201982141062756229e-04,2.328846778884802182e-02,5.500000000000000028e-02
8.799734830856323242e+00,1.013058534104451375e-01,-9.149624888159750688e-04,2.297147561826949277e-02,5.500000000000000028e-02
8.808027982711791992e+00,1.240739164663990507e-01,-1.456367348687721136e-03,2.270546391253314839e-02,5.500000000000000028e-02
8.817339897155761719e+00,1.506203058055401445e-01,-1.331740197273988905e-03,2.272398664997098139e-02,5.500000000000000028e-02
8.825098037719726562e+00,1.768781603651223000e-01,-9.141890732695442251e-04,2.245687840372388722e-02,5.500000000000000028e-02
8.833704948425292969e+00,2.042380988820415022e-01,6.513952547561679095e-04,2.286802806929634849e-02,5.500000000000000028e-02
8.841964483261108398e+00,2.272951363176206052e-01,2.210293470496157986e-03,2.441941738610887980e-02,5.500000000000000028e-02
8.850082874298095703e+00,2.538450441811085367e-01,2.826355703087702221e-03,2.390662599032215493e-02,5.500000000000000028e-02
8.859301805496215820e+00,2.751151459825232903e-01,4.036256492071767232e-03,2.338785307907375807e-02,5.500000000000000028e-02
8.866953134536743164e+00,2.948730698815391627e-01,5.895577171107416366e-03,2.434601427812940755e-02,5.500000000000000028e-02
8.875941038131713867e+00,3.162912232402196322e-01,4.258887681887637763e-03,2.371930641011012544e-02,5.500000000000000028e-02
8.883658885955810547e+00,3.359397569261546868e-01,4.634092033452682710e-03,2.558748808478758172e-02,5.500000000000000028e-02
8.892165184020996094e+00,3.571628142464605138e-01,4.302268920241983027e-03,2.577045627794656568e-02,5.500000000000000028e-02
8.900298118591308594e+00,3.770403050256132538e-01,3.069262270925922874e-03,2.561721818259098116e-02,5.500000000000000028e-02
8.908824920654296875e+00,3.937686682296396290e-01,3.966579741859117131e-03,2.577972454366457555e-02,5.500000000000000028e-02
8.917266607284545898e+00,4.148211691126293954e-01,3.671457339055637231e-03,2.692977540311962056e-02,5.500000000000000028e-02
8.925110340118408203e+00,4.306401419642199579e-01,2.230519925731885063e-03,2.745732319077649058e-02,5.500000000000000028e-02
8.933895826339721680e+00,4.480926610492640405e-01,3.324126699578040627e-03,2.835885263575121593e-02,5.500000000000000028e-02
8.942169427871704102e+00,4.638370112244883936e-01,3.764324693539748082e-03,2.914675404205799292e-02,5.500000000000000028e-02
8.950111627578735352e+00,4.881601619936580261e-01,2.378356818784122841e-03,2.786307181346377518e-02,5.500000000000000028e-02
8.958200693130493164e+00,5.020444393066950672e-01,3.376019491212094940e-03,2.846025736984378329e-02,5.500000000000000028e-02
8.966932058334350586e+00,5.227618993036464712e-01,2.955883573162284422e-03,2.995999541901776808e-02,5.500000000000000028e-02
8.975580215454101562e+00,5.364203222117576164e-01,1.979022136996497899e-03,3.064676362057029702e-02,5.500000000000000028e-02
